start	end	text
0	5960	Chào các em, hôm nay chúng ta học bài giới hạn và liên tục của hàng 2 biến
5960	19920	Để tiền theo dõi chúng ta xét giới hạn hàng 1 biến trước mà chúng ta đã biết trong giới tích 1 hay là ở phổ thông lớp 11
19920	29540	Thì liên fx khi ít đến 0 bằng A, nếu như với mọi epsilon lớn hơn 0, tồn tại delta lớn hơn 0 với mọi x thuộc df
29540	36580	So cho khoảng cách từ ít đến 0 lớn hơn 0 để cho nó ít khác với 0 và bá hơn delta
36580	42040	Thì fx từ A khoảng cách giữa fx và A này sẽ bá hơn epsilon
42040	48820	Thì đối với hàng 2 biến f bằng fxy, ta cũng có chính xác cái định nghĩa này
49920	54500	Là chúng ta thấy liên fx khi xy tiến đến 0 0
54500	59180	Xy là một cái điểm có tọa độ là xy, còn x 0 0 là cái điểm trước cho trước
59180	61160	M0 có tọa độ x 0 0
61160	63920	Thì cái điểm này nó tiến đến x 0 0
63920	67500	Thì cái hàm fx này sẽ tiến đến A
67500	74460	Chúng ta có thể ghi ký hiệu quy định giới hạn kép là ký hiệu này hoặc là ký hiệu này cũng được
74460	76420	Nó hoàn toàn giống như ở trên
76420	80140	Với mọi epsilon cho trước, còn tại một delta lớn hơn 0
80140	84500	Có mọi cái điểm xy nằm trong tập xác định của hàm số
84500	89680	Xy này phân biệt đối với x0 0, tức là khác x0 0
89680	94900	Thì cái này là khoảng cách từ điểm xy đến điểm x0 0 bé hơn delta
94900	98760	Thì khoảng cách từ fx đến A này phải bá hơn epsilon
98760	106840	Ở đây có một cái lưu ý là giới hạn của hàm 1 biến thì ít tiến đến x0 0
106840	109420	Thì có thể tiến bằng 2 cách, tức là tiến về bên trái
109420	113120	Gọi là giới hạn trái và tiến về bên phải gọi là giới hạn phải
113120	119340	Còn trong cái ít phân ở giới hạn kép này thì cái điểm xy này tiến đến điểm 10 euro
119340	122060	Cho trước bằng nhiều cách khác nhau
122060	125360	Không những theo đường thẳng mà có thể theo bất kỳ một đường căng nào đó
125360	130040	Vì định nghĩa giới hạn kép và giới hạn của hàm 1 biến
130040	132460	Cũng là giống nhau, hoàn toàn
132460	139440	Cho nên tính chất của giới hạn kép đó hoàn toàn giống như tính chất của giới hạn hàm 1 biến
139440	142280	Là liêm của tổng bằng tổng 2 liêm
142280	146180	Liêm của tích là bằng tích 2 liêm
146180	151220	Với điều kiện nó không trùng với cái dạng vô định là không nhân vô cực
151220	153940	Liêm của thương và bằng thương của 2 liêm
153940	157780	Cũng với điều kiện là nó không trùng với cái dạng vô định là vô cùng trên vô cùng
157780	161780	Hay là không đi không
161780	169560	Rồi ở đây có một lý kẹp là cái hàm G này nó lớn hơn bằng F, nhỏ hơn bằng H
169560	173920	Với mọi ít y trong cái lăn cặn của x0, 0
173920	175560	Tức là nó sắp sắp với x0, 0
175560	181480	Và giả sử như giới hạn của hàm này và giới hạn của hàm này cùng tiến đến một số M
181480	184200	Thì cái hàm G này cũng tiến đến M
184200	191280	Và trên thực tế thì ta hay dùng cái định lý kẹp này để chúng ta tìm giới hạn của hàm 2 biến
191280	197200	Đối với hàm 1 biến thì chúng ta đã học trong giới tích 1, nó có rất nhiều phương pháp để tìm giới hạn
197200	203120	Còn đối với hàm 2 biến thì nó ít công cụ hơn
203120	206040	Và tìm giới hạn của hàm 2 biến là nó phức tạp hơn nhiều
206040	209040	Bây giờ chúng ta xếp một số cái ví dụ
209040	214080	Tìm giới hạn của hàm 2 biến này khi xy tiến đến 0, 0
214080	218460	Thì trong ví dụ này chúng ta dùng định lý kẹp
218460	223780	Chúng ta tìm giới hạn của hàm 2 biến này sẽ lớn hơn bằng 0 hiện nhiên rồi
223780	226160	Và bá hơn bằng tìm giới hạn của hàm F đây
226160	226960	Thì tìm giới hạn của hàm F đây
226960	231520	Thì tìm giới hạn của tổng là bá hơn bằng tổng của tìm giới hạn của hàm F
231520	233900	Rồi sinh của 1 phần x thì luôn luôn bá hơn bằng 1
233900	235080	Cho nên chúng ta có cái
235080	236960	Cái giá này
236960	239700	Thì ở đây chúng ta có F
239700	241240	Kẹp bởi hàm
241240	244160	G và hàm H
244160	245920	Thì cái hàm này
245920	248700	Tất nhiên là vì hàm 0 cho nên tiến đến 0
248700	250780	Khi xy tiến đến 0, 0
250780	253320	Và bên này cũng vậy
253320	255820	Khi xy tiến đến x0, 0 thì cái này sẽ tiến đến
255820	257200	0
257200	261440	Và nó kẹp 2 bên thì suy ra là giới hạn này
261440	263360	Giới hạn này cũng sẽ tiến đến 0
263360	265280	Và liêm của trị thực đối bằng 0
265280	267440	Thì suy ra liêm của F cũng bằng 0
267440	268660	Và chúng ta dùng
268660	272080	Đường lý kẹp để chúng ta giải bài này
272080	274480	Ví dụ tiếp theo
274480	277400	Là tìm giới hạn của hàm này
277400	279060	Đây cũng là hàm 2 biến
279060	281320	Khi xy tiến đến 0, 0
281320	282820	Thì ta cũng dùng đường lý kẹp
282820	284360	Chúng ta kẹp cái hàm F xy này
284360	285680	Bởi bên 1 bên là 0
285680	287300	Một bên là 3 trị thực đối bằng y
287300	290460	Tại vì cái này luôn luôn bái hơn 1 bằng 1
290460	293300	Lưu ý là x bình cộng xy
293300	294340	Nó khác với 0, 0
294340	297200	Thì có nghĩa là mẫu này không có bằng 0
297200	300140	Rồi bây giờ chúng ta thấy là
300140	301600	Đây là tiến đến 0 hiện nhiên rồi
301600	303220	3 lần thì cái hàm 2 biến này
303220	305380	Thì cái hàm này cũng sẽ tiến đến 0
305380	307380	Khi xy tiến đến 0, 0
307380	311280	Và dùng đường lý kẹp thì ta cũng được kết quả giống như ví dụ rồi
311280	314360	Ở trong bài này
314360	315820	Thì
315820	318480	Chúng ta thấy là
318480	320340	Chúng ta chọn 2 cái dãy
320340	323420	Cái dãy thứ nhất là xn, yn bằng 1 phần n 0
323420	325440	Đây là dãy những cái điểm
325440	328160	Mà có oanh độ là 1 phần n
328160	329020	Tung độ là 0
329020	331040	Có nghĩa là cái dãy điểm này nằm trên trục
331040	333820	Oanh về bên phải của trục oanh
333820	336300	Khi mà n càng lớn
336300	337820	Thì cái điểm này càng tiến về 0
337820	339780	Tiến từ bên phải về 0
339780	345800	Khi đó chúng ta thay xn, yn thay vô
345800	347480	Thay 1 phần n và 0 vô
347480	349080	Thì chúng ta sẽ được là 1
349080	351840	Chọn dãy thứ 2 là
351840	353420	Xn phải, yn phải là này
353420	355320	Đây là dãy những điểm nằm trên trục tung
355320	356160	Bên phải trục tung
356160	358300	Phía trên của trục tung
358300	361160	Thì những điểm này càng tiến về 0,0
361160	363840	Và giá trị của hàm số tại những dãy điểm này
363840	364660	Luôn luôn bằng 2
364660	367680	Điều này có nghĩa là chúng ta sẽ chỉ ra được 2 cái dãy
367680	371100	Tiến đến 0,0
371100	373380	2 giải điểm đến 0 và giá trị của hàm số
373380	375760	Ở những giải điểm đó tiến đến 2 số khác nhau
375760	378800	Thì giới hạn của hàm này không tồn tại
378800	384220	Chúng ta tiến đến 0,0
384220	385380	Bằng 2 cái cách khác nhau
385380	387380	Cách thứ nhất là tiến theo tục hoành
387380	389100	Cách thứ 2 là tiến theo tục tung
389100	391080	Và giá trị của hàm số
391080	394040	Tại những giải điểm đó sẽ tiến đến 2 số khác nhau
394040	395500	Thì giới hạn không tồn tại
395500	398640	Xét ví dụ này
398640	401960	Tìm giới hạn của hàm này
401960	403280	Thì
403280	406060	Đây chúng ta chọn Y bằng KX
406060	407940	Thì chúng ta thế vô
407940	410340	Chúng ta thấy là FSI là sẽ bằng K
410340	411060	Thế 1 phần K
411060	413440	Có nghĩa là FSI nó phụ thuộc vào K
413440	417000	Mà điều này có nghĩa là không tồn tại giới hạn
417000	417700	Lý do tại sao
417700	418800	Y bằng KX
418800	420940	Có nghĩa là chúng ta tiến đến cái điểm 0,0
420940	422860	Bằng những đường thẳng Y bằng KX
422860	424960	Ví dụ như cho cao bằng 1
424960	428360	Chúng ta tiến đến 0,0
428360	430720	Bởi những điểm nằm trên cái đường Y bằng X
430720	432520	Cho cao bằng 2 cho tiến đến 0,0
432520	434040	Bởi những điểm Y bằng 2X
434040	435980	Và chúng ta tới tiến đến 0,0
435980	437180	Bởi những đường thẳng khác nhau
437180	440060	Thì giá trị của hàm số là nó thay đổi
440060	443040	Thì giới hạn của hàm không có
443040	444720	Điều này
444720	446980	Cái vấn đề đặt ra là
446980	448260	Làm sao chúng ta biết được
448260	450060	Mà chúng ta chọn Y bằng KX
450060	453140	Thì chúng ta dự đoán là chúng ta thấy
453140	455220	Bậc của tử là bậc 2
455220	456140	X Y là bậc 2
456140	457580	Bậc mẫu cũng là bậc 2
457580	459540	Cho nên 2 cái bậc này mà nó bàn nhau
459540	461660	Thì khả năng là giới hạn không tồn tại
461660	463900	Cho nên chúng ta phải đi theo cái hướng là
463900	467300	Chọn những cái giải điểm phù hợp
467300	468060	Để chúng ta
468060	471020	Để cái hàm nó sẽ tiến đến những số khác nhau
471020	474460	Cách làm đối với bài này chúng ta sẽ làm
474460	475740	Cũng có thể làm bằng cách
475740	478300	Của cái ví dụ vừa rồi cũng được
478300	480700	Thì hoặc
480700	484360	Ở ví dụ vừa rồi chúng ta cũng có thể chọn cách này để chúng ta làm
484360	489320	Rồi
489320	489980	Ví dụ này
489980	492680	Thì đây là
492680	496380	Hàm FXY là bằng X Y mũ 3 trên X bình cộng Y mũ 6
496380	499880	Thì dựa vào cái hàm này chúng ta có thể chọn cái giải
499880	502440	Thứ nhất là 1 phần N 0
502440	504800	Thì khi 1 phần N 0 thế vào đây
504800	505660	Thì chúng ta sẽ được
505660	507880	F
507880	509820	X N Y n bằng 0
509820	511400	Thế vào thôi chúng ta thấy được 0 liền
511400	514900	Một tròn một giải thứ 2 là 1 phần N mũ 3
514900	515500	1 phần N
515500	518540	Có nghĩa là những giải điểm này nằm trên cái đường
518540	520440	Y bằng X mũ 3
520440	521740	Cái đường cao Y bằng Y mũ 3
521740	525020	Và khi thế vô thì chúng ta thấy được 1 phần 2
525020	529000	Vậy là chúng ta có 2 giải điểm tiến đến 0 0
529000	530520	Mà giá trị của 2 một số
530520	532220	Ở những giải điểm đó
532220	534780	Thì tiến đến 2 số khác nhau thì giới hạn không có
534780	539160	Bài này chúng ta cũng có thể xét cái giải điểm là
539160	541460	Y bằng KX mũ 3
541460	542820	Và chúng ta thế vô cũng được
542820	546020	Chúng ta cũng sẽ có 0 tồn tại giới hạn
546020	548880	Rồi tương tự như vậy
548880	551280	Bài này thì chúng ta chọn những giải điểm
551280	552940	1 phần N 0
552940	558640	Với giải điểm này thì giá trị của hành số là 0
558640	560520	Và chúng ta chọn cái giải điểm này
560520	562520	Lý do tại sao chúng ta chọn cái giải điểm đặc biệt như thế này
562520	564640	Khi chúng ta thế 1 phần N 1 phần N bình vào đây
564640	565840	Thì nó sẽ bay bước
