,Lecture.NaiveRAG,Lecture.VideoRAG,Documentary.NaiveRAG,Documentary.VideoRAG,Entertainment.NaiveRAG,Entertainment.VideoRAG,All.NaiveRAG,All.VideoRAG
Comprehensiveness,47.63%,52.37%,44.04%,55.96%,46.43%,53.57%,46.73%,53.27%
Empowerment,45.85%,54.15%,40.00%,60.00%,45.36%,54.64%,44.65%,55.35%
Trustworthiness,46.73%,53.27%,42.54%,57.46%,44.46%,55.54%,45.51%,54.49%
Depth,46.70%,53.30%,43.25%,56.75%,46.07%,53.93%,45.93%,54.07%
Density,46.73%,53.27%,44.21%,55.79%,44.29%,55.71%,45.80%,54.20%
Overall Winner,47.66%,52.34%,44.04%,55.96%,46.43%,53.57%,46.74%,53.26%
,GraphRAG- l,VideoRAG,GraphRAG- l,VideoRAG,GraphRAG- l,VideoRAG,GraphRAG- l,VideoRAG
Comprehensiveness,44.60%,55.40%,48.68%,51.32%,49.29%,50.71%,46.25%,53.75%
Empowerment,42.34%,57.66%,47.54%,52.46%,49.02%,50.98%,44.57%,55.43%
Trustworthiness,42.79%,57.21%,47.11%,52.89%,46.07%,53.93%,44.22%,55.78%
Depth,42.34%,57.66%,48.33%,51.67%,49.55%,50.45%,44.82%,55.18%
Density,39.26%,60.74%,45.26%,54.74%,46.52%,53.48%,41.74%,58.26%
Overall Winner,44.44%,55.56%,48.68%,51.32%,49.20%,50.80%,46.13%,53.87%
,GraphRAG- g,VideoRAG,GraphRAG- g,VideoRAG,GraphRAG- g,VideoRAG,GraphRAG- g,VideoRAG
Comprehensiveness,42.66%,57.34%,46.23%,53.77%,48.48%,51.52%,44.42%,55.58%
Empowerment,39.55%,60.45%,44.04%,55.96%,48.30%,51.70%,42.03%,57.97%
Trustworthiness,38.54%,61.46%,41.49%,58.51%,43.48%,56.52%,40.02%,59.98%
Depth,40.61%,59.39%,45.26%,54.74%,47.23%,52.77%,42.72%,57.28%
Density,37.55%,62.45%,46.93%,53.07%,48.04%,51.96%,41.28%,58.72%
Overall Winner,42.23%,57.77%,46.32%,53.68%,48.75%,51.25%,44.22%,55.78%
,LightRAG,VideoRAG,LightRAG,VideoRAG,LightRAG,VideoRAG,LightRAG,VideoRAG
Comprehensiveness,42.42%,57.58%,45.09%,54.91%,43.84%,56.16%,43.19%,56.81%
Empowerment,39.55%,60.45%,38.95%,61.05%,42.05%,57.95%,39.90%,60.10%
Trustworthiness,39.52%,60.48%,42.11%,57.89%,40.00%,60.00%,40.10%,59.90%
Depth,40.13%,59.87%,41.93%,58.07%,41.96%,58.04%,40.81%,59.19%
Density,39.57%,60.43%,42.37%,57.63%,41.61%,58.39%,40.48%,59.52%
Overall Winner,42.15%,57.85%,44.30%,55.70%,43.75%,56.25%,42.86%,57.14%
