"threads","run_timestamp","label","total_requests","failed_requests","error_rate_pct","avg_latency_ms","p95_latency_ms","p99_latency_ms","throughput_rps","duration_sec"
"10","20260421_014916","GET /api/processing-stats (core)","10","0","0","240","301.1","301.82","0.057","175.48"
"10","20260421_014916","GET /api/users/me","10","0","0","258.3","289.05","293.01","0.056","178.48"
"10","20260421_014916","POST /api/auth/login-local","10","0","0","950.9","1535.05","1920.61","0.0556","179.82"
"10","20260421_014916","POST /api/index (core)","10","0","0","7838.1","7904.35","7910.47","0.057","175.46"
"10","20260421_014916","POST /api/process (core)","10","0","0","2213.7","2436.45","2479.29","0.0569","175.66"
"10","20260421_014916","POST /api/upload (core)","10","0","0","1329.1","2023.55","2427.11","0.0565","176.99"
"20","20260421_015255","GET /api/processing-stats (core)","20","0","0","294.4","368.1","1220.82","0.0536","373.04"
"20","20260421_015255","GET /api/users/me","20","0","0","259","287.25","321.45","0.0529","377.75"
"20","20260421_015255","POST /api/auth/login-local","20","0","0","983","2274.35","2325.27","0.0527","379.4"
"20","20260421_015255","POST /api/index (core)","20","0","0","7799.4","7890.85","7903.77","0.0536","373.01"
"20","20260421_015255","POST /api/process (core)","20","0","0","2208.55","2444","2444","0.0537","372.74"
"20","20260421_015255","POST /api/upload (core)","20","0","0","1319.3","2172.85","2550.57","0.0535","373.83"
"30","20260421_020003","GET /api/processing-stats (core)","30","0","0","254.17","308.65","433.54","0.0523","573.65"
"30","20260421_020003","GET /api/users/me","30","0","0","253.73","271.2","310.63","0.0519","577.79"
"30","20260421_020003","POST /api/auth/login-local","30","0","0","868.83","985.55","1754.47","0.0518","579.22"
"30","20260421_020003","POST /api/index (core)","30","0","0","7858.73","7988.4","9212.05","0.0523","573.39"
"30","20260421_020003","POST /api/process (core)","30","0","0","2208.37","2401.05","2438.66","0.0523","573.22"
"30","20260421_020003","POST /api/upload (core)","30","0","0","1276.07","2427.2","2580.04","0.0523","573.74"
"40","20260421_021040","GET /api/processing-stats (core)","40","0","0","232.98","304.35","371.39","0.0517","774.29"
"40","20260421_021040","GET /api/users/me","40","0","0","254.2","279.05","286.71","0.0514","778.82"
"40","20260421_021040","POST /api/auth/login-local","40","0","0","828.82","934.3","1344.11","0.0513","779.62"
"40","20260421_021040","POST /api/index (core)","40","0","0","7956.15","8324.8","10410.78","0.0515","776.67"
"40","20260421_021040","POST /api/process (core)","40","0","0","2203.48","2394.5","2606.79","0.0515","776.4"
"40","20260421_021040","POST /api/upload (core)","40","0","0","1156.05","1400.35","1997.05","0.0515","776.72"
